"Step","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.95-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.95-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"529","0.725","0.725","0.725","0.723","0.723","0.723","0.659","0.659","0.659","0.855","0.855","0.855","0.816","0.816","0.816","0.757","0.757","0.757","0.85","0.85","0.85","0.81","0.81","0.81","0.825","0.825","0.825","0.764","0.764","0.764","0.754","0.754","0.754","0.655","0.655","0.655"
"530","0.763","0.763","0.763","0.745","0.745","0.745","0.605","0.605","0.605","0.86","0.86","0.86","0.834","0.834","0.834","0.815","0.815","0.815","0.822","0.822","0.822","0.82","0.82","0.82","0.669","0.669","0.669","0.77","0.77","0.77","0.782","0.782","0.782","0.587","0.587","0.587"
"531","0.733","0.733","0.733","0.745","0.745","0.745","0.587","0.587","0.587","0.853","0.853","0.853","0.845","0.845","0.845","0.752","0.752","0.752","0.811","0.811","0.811","0.821","0.821","0.821","0.679","0.679","0.679","0.752","0.752","0.752","0.749","0.749","0.749","0.537","0.537","0.537"
"532","0.741","0.741","0.741","0.787","0.787","0.787","0.637","0.637","0.637","0.842","0.842","0.842","0.835","0.835","0.835","0.733","0.733","0.733","0.823","0.823","0.823","0.807","0.807","0.807","0.755","0.755","0.755","0.769","0.769","0.769","0.79","0.79","0.79","0.585","0.585","0.585"
"533","0.744","0.744","0.744","0.725","0.725","0.725","0.664","0.664","0.664","0.837","0.837","0.837","0.837","0.837","0.837","0.803","0.803","0.803","0.831","0.831","0.831","0.846","0.846","0.846","0.767","0.767","0.767","0.763","0.763","0.763","0.774","0.774","0.774","0.667","0.667","0.667"
"534","0.742","0.742","0.742","0.729","0.729","0.729","0.606","0.606","0.606","0.856","0.856","0.856","0.823","0.823","0.823","0.774","0.774","0.774","0.828","0.828","0.828","0.807","0.807","0.807","0.756","0.756","0.756","0.76","0.76","0.76","0.756","0.756","0.756","0.616","0.616","0.616"
"535","0.75","0.75","0.75","0.729","0.729","0.729","0.58","0.58","0.58","0.829","0.829","0.829","0.82","0.82","0.82","0.717","0.717","0.717","0.829","0.829","0.829","0.817","0.817","0.817","0.722","0.722","0.722","0.755","0.755","0.755","0.755","0.755","0.755","0.679","0.679","0.679"
"536","0.746","0.746","0.746","0.713","0.713","0.713","0.587","0.587","0.587","0.846","0.846","0.846","0.829","0.829","0.829","0.629","0.629","0.629","0.819","0.819","0.819","0.819","0.819","0.819","0.715","0.715","0.715","0.741","0.741","0.741","0.773","0.773","0.773","0.563","0.563","0.563"
"537","0.76","0.76","0.76","0.762","0.762","0.762","0.56","0.56","0.56","0.847","0.847","0.847","0.848","0.848","0.848","0.772","0.772","0.772","0.821","0.821","0.821","0.835","0.835","0.835","0.697","0.697","0.697","0.772","0.772","0.772","0.803","0.803","0.803","0.627","0.627","0.627"
"538","0.701","0.701","0.701","0.745","0.745","0.745","0.535","0.535","0.535","0.842","0.842","0.842","0.85","0.85","0.85","0.723","0.723","0.723","0.838","0.838","0.838","0.816","0.816","0.816","0.749","0.749","0.749","0.755","0.755","0.755","0.769","0.769","0.769","0.577","0.577","0.577"
"539","0.734","0.734","0.734","0.73","0.73","0.73","0.666","0.666","0.666","0.856","0.856","0.856","0.824","0.824","0.824","0.728","0.728","0.728","0.826","0.826","0.826","0.828","0.828","0.828","0.678","0.678","0.678","0.764","0.764","0.764","0.8","0.8","0.8","0.534","0.534","0.534"
"540","0.714","0.714","0.714","0.739","0.739","0.739","0.65","0.65","0.65","0.865","0.865","0.865","0.829","0.829","0.829","0.672","0.672","0.672","0.844","0.844","0.844","0.815","0.815","0.815","0.747","0.747","0.747","0.768","0.768","0.768","0.775","0.775","0.775","0.695","0.695","0.695"
"541","0.748","0.748","0.748","0.762","0.762","0.762","0.529","0.529","0.529","0.86","0.86","0.86","0.837","0.837","0.837","0.55","0.55","0.55","0.831","0.831","0.831","0.827","0.827","0.827","0.585","0.585","0.585","0.746","0.746","0.746","0.781","0.781","0.781","0.474","0.474","0.474"
"542","0.757","0.757","0.757","0.713","0.713","0.713","0.626","0.626","0.626","0.856","0.856","0.856","0.854","0.854","0.854","0.761","0.761","0.761","0.845","0.845","0.845","0.829","0.829","0.829","0.76","0.76","0.76","0.785","0.785","0.785","0.804","0.804","0.804","0.572","0.572","0.572"
"543","0.763","0.763","0.763","0.76","0.76","0.76","0.692","0.692","0.692","0.855","0.855","0.855","0.824","0.824","0.824","0.651","0.651","0.651","0.843","0.843","0.843","0.795","0.795","0.795","0.751","0.751","0.751","0.757","0.757","0.757","0.755","0.755","0.755","0.636","0.636","0.636"
"544","0.753","0.753","0.753","0.673","0.673","0.673","0.552","0.552","0.552","0.846","0.846","0.846","0.822","0.822","0.822","0.707","0.707","0.707","0.834","0.834","0.834","0.791","0.791","0.791","0.707","0.707","0.707","0.754","0.754","0.754","0.742","0.742","0.742","0.514","0.514","0.514"
"545","0.737","0.737","0.737","0.703","0.703","0.703","0.609","0.609","0.609","0.867","0.867","0.867","0.813","0.813","0.813","0.699","0.699","0.699","0.827","0.827","0.827","0.81","0.81","0.81","0.767","0.767","0.767","0.744","0.744","0.744","0.787","0.787","0.787","0.627","0.627","0.627"
"546","0.751","0.751","0.751","0.741","0.741","0.741","0.55","0.55","0.55","0.863","0.863","0.863","0.847","0.847","0.847","0.821","0.821","0.821","0.823","0.823","0.823","0.831","0.831","0.831","0.678","0.678","0.678","0.783","0.783","0.783","0.799","0.799","0.799","0.505","0.505","0.505"
"547","0.767","0.767","0.767","0.699","0.699","0.699","0.593","0.593","0.593","0.85","0.85","0.85","0.868","0.868","0.868","0.758","0.758","0.758","0.821","0.821","0.821","0.842","0.842","0.842","0.694","0.694","0.694","0.759","0.759","0.759","0.805","0.805","0.805","0.57","0.57","0.57"
"548","0.781","0.781","0.781","0.722","0.722","0.722","0.543","0.543","0.543","0.859","0.859","0.859","0.842","0.842","0.842","0.781","0.781","0.781","0.817","0.817","0.817","0.826","0.826","0.826","0.708","0.708","0.708","0.76","0.76","0.76","0.779","0.779","0.779","0.524","0.524","0.524"
"549","0.746","0.746","0.746","0.729","0.729","0.729","0.58","0.58","0.58","0.843","0.843","0.843","0.82","0.82","0.82","0.669","0.669","0.669","0.825","0.825","0.825","0.828","0.828","0.828","0.692","0.692","0.692","0.761","0.761","0.761","0.783","0.783","0.783","0.512","0.512","0.512"
"550","0.731","0.731","0.731","0.748","0.748","0.748","0.528","0.528","0.528","0.85","0.85","0.85","0.846","0.846","0.846","0.794","0.794","0.794","0.81","0.81","0.81","0.827","0.827","0.827","0.724","0.724","0.724","0.744","0.744","0.744","0.764","0.764","0.764","0.582","0.582","0.582"
"551","0.738","0.738","0.738","0.729","0.729","0.729","0.617","0.617","0.617","0.873","0.873","0.873","0.829","0.829","0.829","0.673","0.673","0.673","0.819","0.819","0.819","0.812","0.812","0.812","0.762","0.762","0.762","0.761","0.761","0.761","0.764","0.764","0.764","0.681","0.681","0.681"
"552","0.72","0.72","0.72","0.755","0.755","0.755","0.664","0.664","0.664","0.841","0.841","0.841","0.832","0.832","0.832","0.754","0.754","0.754","0.826","0.826","0.826","0.809","0.809","0.809","0.65","0.65","0.65","0.756","0.756","0.756","0.775","0.775","0.775","0.559","0.559","0.559"
"553","0.772","0.772","0.772","0.735","0.735","0.735","0.675","0.675","0.675","0.838","0.838","0.838","0.839","0.839","0.839","0.774","0.774","0.774","0.832","0.832","0.832","0.83","0.83","0.83","0.795","0.795","0.795","0.756","0.756","0.756","0.793","0.793","0.793","0.695","0.695","0.695"
"554","0.708","0.708","0.708","0.746","0.746","0.746","0.678","0.678","0.678","0.851","0.851","0.851","0.842","0.842","0.842","0.762","0.762","0.762","0.843","0.843","0.843","0.847","0.847","0.847","0.75","0.75","0.75","0.777","0.777","0.777","0.769","0.769","0.769","0.629","0.629","0.629"
"555","0.753","0.753","0.753","0.732","0.732","0.732","0.54","0.54","0.54","0.859","0.859","0.859","0.85","0.85","0.85","0.766","0.766","0.766","0.839","0.839","0.839","0.839","0.839","0.839","0.685","0.685","0.685","0.756","0.756","0.756","0.78","0.78","0.78","0.552","0.552","0.552"
"556","0.734","0.734","0.734","0.746","0.746","0.746","0.614","0.614","0.614","0.856","0.856","0.856","0.843","0.843","0.843","0.711","0.711","0.711","0.81","0.81","0.81","0.826","0.826","0.826","0.773","0.773","0.773","0.769","0.769","0.769","0.777","0.777","0.777","0.626","0.626","0.626"
"557","0.729","0.729","0.729","0.741","0.741","0.741","0.548","0.548","0.548","0.848","0.848","0.848","0.824","0.824","0.824","0.716","0.716","0.716","0.827","0.827","0.827","0.814","0.814","0.814","0.735","0.735","0.735","0.751","0.751","0.751","0.761","0.761","0.761","0.593","0.593","0.593"
"558","0.739","0.739","0.739","0.76","0.76","0.76","0.588","0.588","0.588","0.835","0.835","0.835","0.833","0.833","0.833","0.735","0.735","0.735","0.82","0.82","0.82","0.82","0.82","0.82","0.742","0.742","0.742","0.746","0.746","0.746","0.772","0.772","0.772","0.643","0.643","0.643"
"559","0.739","0.739","0.739","0.766","0.766","0.766","0.439","0.439","0.439","0.852","0.852","0.852","0.832","0.832","0.832","0.748","0.748","0.748","0.844","0.844","0.844","0.807","0.807","0.807","0.805","0.805","0.805","0.77","0.77","0.77","0.776","0.776","0.776","0.645","0.645","0.645"
"560","0.742","0.742","0.742","0.743","0.743","0.743","0.677","0.677","0.677","0.838","0.838","0.838","0.821","0.821","0.821","0.7","0.7","0.7","0.832","0.832","0.832","0.812","0.812","0.812","0.717","0.717","0.717","0.765","0.765","0.765","0.771","0.771","0.771","0.567","0.567","0.567"
"561","0.755","0.755","0.755","0.773","0.773","0.773","0.633","0.633","0.633","0.872","0.872","0.872","0.848","0.848","0.848","0.64","0.64","0.64","0.833","0.833","0.833","0.823","0.823","0.823","0.696","0.696","0.696","0.756","0.756","0.756","0.797","0.797","0.797","0.58","0.58","0.58"
"562","0.754","0.754","0.754","0.761","0.761","0.761","0.56","0.56","0.56","0.856","0.856","0.856","0.829","0.829","0.829","0.739","0.739","0.739","0.854","0.854","0.854","0.796","0.796","0.796","0.753","0.753","0.753","0.766","0.766","0.766","0.765","0.765","0.765","0.613","0.613","0.613"
"563","0.752","0.752","0.752","0.728","0.728","0.728","0.613","0.613","0.613","0.85","0.85","0.85","0.837","0.837","0.837","0.708","0.708","0.708","0.846","0.846","0.846","0.826","0.826","0.826","0.666","0.666","0.666","0.765","0.765","0.765","0.773","0.773","0.773","0.475","0.475","0.475"
"564","0.754","0.754","0.754","0.714","0.714","0.714","0.602","0.602","0.602","0.844","0.844","0.844","0.821","0.821","0.821","0.719","0.719","0.719","0.843","0.843","0.843","0.821","0.821","0.821","0.691","0.691","0.691","0.772","0.772","0.772","0.797","0.797","0.797","0.544","0.544","0.544"
"565","0.736","0.736","0.736","0.748","0.748","0.748","0.698","0.698","0.698","0.843","0.843","0.843","0.832","0.832","0.832","0.606","0.606","0.606","0.842","0.842","0.842","0.82","0.82","0.82","0.589","0.589","0.589","0.777","0.777","0.777","0.756","0.756","0.756","0.438","0.438","0.438"
"566","0.736","0.736","0.736","0.75","0.75","0.75","0.657","0.657","0.657","0.854","0.854","0.854","0.837","0.837","0.837","0.708","0.708","0.708","0.828","0.828","0.828","0.812","0.812","0.812","0.638","0.638","0.638","0.742","0.742","0.742","0.757","0.757","0.757","0.461","0.461","0.461"
"567","0.753","0.753","0.753","0.778","0.778","0.778","0.634","0.634","0.634","0.872","0.872","0.872","0.833","0.833","0.833","0.701","0.701","0.701","0.848","0.848","0.848","0.808","0.808","0.808","0.7","0.7","0.7","0.756","0.756","0.756","0.784","0.784","0.784","0.451","0.451","0.451"
"568","0.718","0.718","0.718","0.72","0.72","0.72","0.507","0.507","0.507","0.827","0.827","0.827","0.855","0.855","0.855","0.765","0.765","0.765","0.832","0.832","0.832","0.835","0.835","0.835","0.754","0.754","0.754","0.757","0.757","0.757","0.767","0.767","0.767","0.634","0.634","0.634"
"569","0.732","0.732","0.732","0.75","0.75","0.75","0.52","0.52","0.52","0.858","0.858","0.858","0.827","0.827","0.827","0.704","0.704","0.704","0.854","0.854","0.854","0.807","0.807","0.807","0.694","0.694","0.694","0.772","0.772","0.772","0.761","0.761","0.761","0.505","0.505","0.505"
"570","0.749","0.749","0.749","0.726","0.726","0.726","0.561","0.561","0.561","0.856","0.856","0.856","0.85","0.85","0.85","0.672","0.672","0.672","0.851","0.851","0.851","0.837","0.837","0.837","0.732","0.732","0.732","0.761","0.761","0.761","0.79","0.79","0.79","0.556","0.556","0.556"
"571","0.772","0.772","0.772","0.759","0.759","0.759","0.673","0.673","0.673","0.862","0.862","0.862","0.832","0.832","0.832","0.74","0.74","0.74","0.827","0.827","0.827","0.811","0.811","0.811","0.728","0.728","0.728","0.762","0.762","0.762","0.777","0.777","0.777","0.64","0.64","0.64"
"572","0.735","0.735","0.735","0.736","0.736","0.736","0.685","0.685","0.685","0.862","0.862","0.862","0.832","0.832","0.832","0.793","0.793","0.793","0.85","0.85","0.85","0.818","0.818","0.818","0.808","0.808","0.808","0.77","0.77","0.77","0.791","0.791","0.791","0.701","0.701","0.701"
"573","0.756","0.756","0.756","0.707","0.707","0.707","0.499","0.499","0.499","0.854","0.854","0.854","0.837","0.837","0.837","0.802","0.802","0.802","0.855","0.855","0.855","0.8","0.8","0.8","0.768","0.768","0.768","0.764","0.764","0.764","0.781","0.781","0.781","0.651","0.651","0.651"
"574","0.744","0.744","0.744","0.754","0.754","0.754","0.643","0.643","0.643","0.862","0.862","0.862","0.823","0.823","0.823","0.699","0.699","0.699","0.854","0.854","0.854","0.833","0.833","0.833","0.774","0.774","0.774","0.756","0.756","0.756","0.785","0.785","0.785","0.646","0.646","0.646"
"575","0.744","0.744","0.744","0.724","0.724","0.724","0.628","0.628","0.628","0.838","0.838","0.838","0.835","0.835","0.835","0.727","0.727","0.727","0.816","0.816","0.816","0.824","0.824","0.824","0.8","0.8","0.8","0.749","0.749","0.749","0.783","0.783","0.783","0.7","0.7","0.7"
"576","0.733","0.733","0.733","0.731","0.731","0.731","0.639","0.639","0.639","0.854","0.854","0.854","0.836","0.836","0.836","0.698","0.698","0.698","0.856","0.856","0.856","0.829","0.829","0.829","0.686","0.686","0.686","0.766","0.766","0.766","0.776","0.776","0.776","0.503","0.503","0.503"
"577","0.759","0.759","0.759","0.758","0.758","0.758","0.607","0.607","0.607","0.846","0.846","0.846","0.84","0.84","0.84","0.748","0.748","0.748","0.843","0.843","0.843","0.812","0.812","0.812","0.736","0.736","0.736","0.763","0.763","0.763","0.777","0.777","0.777","0.567","0.567","0.567"
"578","0.758","0.758","0.758","0.754","0.754","0.754","0.622","0.622","0.622","0.869","0.869","0.869","0.845","0.845","0.845","0.806","0.806","0.806","0.851","0.851","0.851","0.818","0.818","0.818","0.67","0.67","0.67","0.782","0.782","0.782","0.777","0.777","0.777","0.615","0.615","0.615"
"579","0.757","0.757","0.757","0.751","0.751","0.751","0.628","0.628","0.628","0.86","0.86","0.86","0.841","0.841","0.841","0.703","0.703","0.703","0.836","0.836","0.836","0.822","0.822","0.822","0.73","0.73","0.73","0.765","0.765","0.765","0.804","0.804","0.804","0.575","0.575","0.575"
"580","0.732","0.732","0.732","0.741","0.741","0.741","0.716","0.716","0.716","0.856","0.856","0.856","0.839","0.839","0.839","0.677","0.677","0.677","0.821","0.821","0.821","0.828","0.828","0.828","0.78","0.78","0.78","0.758","0.758","0.758","0.753","0.753","0.753","0.689","0.689","0.689"
"581","0.756","0.756","0.756","0.737","0.737","0.737","0.616","0.616","0.616","0.842","0.842","0.842","0.847","0.847","0.847","0.697","0.697","0.697","0.82","0.82","0.82","0.828","0.828","0.828","0.731","0.731","0.731","0.762","0.762","0.762","0.798","0.798","0.798","0.632","0.632","0.632"
"582","0.765","0.765","0.765","0.727","0.727","0.727","0.579","0.579","0.579","0.852","0.852","0.852","0.819","0.819","0.819","0.698","0.698","0.698","0.841","0.841","0.841","0.804","0.804","0.804","0.748","0.748","0.748","0.773","0.773","0.773","0.774","0.774","0.774","0.634","0.634","0.634"
"583","0.78","0.78","0.78","0.751","0.751","0.751","0.53","0.53","0.53","0.857","0.857","0.857","0.831","0.831","0.831","0.705","0.705","0.705","0.82","0.82","0.82","0.83","0.83","0.83","0.591","0.591","0.591","0.74","0.74","0.74","0.759","0.759","0.759","0.389","0.389","0.389"
"584","0.763","0.763","0.763","0.718","0.718","0.718","0.642","0.642","0.642","0.867","0.867","0.867","0.819","0.819","0.819","0.72","0.72","0.72","0.83","0.83","0.83","0.829","0.829","0.829","0.736","0.736","0.736","0.763","0.763","0.763","0.771","0.771","0.771","0.606","0.606","0.606"
"585","0.751","0.751","0.751","0.743","0.743","0.743","0.634","0.634","0.634","0.857","0.857","0.857","0.85","0.85","0.85","0.781","0.781","0.781","0.828","0.828","0.828","0.844","0.844","0.844","0.672","0.672","0.672","0.739","0.739","0.739","0.778","0.778","0.778","0.522","0.522","0.522"
"586","0.744","0.744","0.744","0.744","0.744","0.744","0.641","0.641","0.641","0.866","0.866","0.866","0.83","0.83","0.83","0.703","0.703","0.703","0.855","0.855","0.855","0.828","0.828","0.828","0.716","0.716","0.716","0.753","0.753","0.753","0.73","0.73","0.73","0.658","0.658","0.658"
"587","0.734","0.734","0.734","0.756","0.756","0.756","0.512","0.512","0.512","0.85","0.85","0.85","0.81","0.81","0.81","0.668","0.668","0.668","0.83","0.83","0.83","0.829","0.829","0.829","0.673","0.673","0.673","0.762","0.762","0.762","0.767","0.767","0.767","0.524","0.524","0.524"
"588","0.751","0.751","0.751","0.735","0.735","0.735","0.474","0.474","0.474","0.846","0.846","0.846","0.797","0.797","0.797","0.74","0.74","0.74","0.837","0.837","0.837","0.798","0.798","0.798","0.696","0.696","0.696","0.772","0.772","0.772","0.755","0.755","0.755","0.554","0.554","0.554"
"589","0.75","0.75","0.75","0.754","0.754","0.754","0.609","0.609","0.609","0.878","0.878","0.878","0.837","0.837","0.837","0.691","0.691","0.691","0.83","0.83","0.83","0.834","0.834","0.834","0.703","0.703","0.703","0.753","0.753","0.753","0.769","0.769","0.769","0.622","0.622","0.622"
"590","0.785","0.785","0.785","0.756","0.756","0.756","0.608","0.608","0.608","0.859","0.859","0.859","0.851","0.851","0.851","0.717","0.717","0.717","0.837","0.837","0.837","0.805","0.805","0.805","0.765","0.765","0.765","0.781","0.781","0.781","0.802","0.802","0.802","0.632","0.632","0.632"
"591","0.748","0.748","0.748","0.711","0.711","0.711","0.527","0.527","0.527","0.835","0.835","0.835","0.85","0.85","0.85","0.724","0.724","0.724","0.844","0.844","0.844","0.854","0.854","0.854","0.734","0.734","0.734","0.779","0.779","0.779","0.787","0.787","0.787","0.662","0.662","0.662"
"592","0.762","0.762","0.762","0.78","0.78","0.78","0.633","0.633","0.633","0.829","0.829","0.829","0.834","0.834","0.834","0.681","0.681","0.681","0.854","0.854","0.854","0.822","0.822","0.822","0.663","0.663","0.663","0.78","0.78","0.78","0.769","0.769","0.769","0.515","0.515","0.515"
"593","0.758","0.758","0.758","0.75","0.75","0.75","0.54","0.54","0.54","0.822","0.822","0.822","0.824","0.824","0.824","0.705","0.705","0.705","0.842","0.842","0.842","0.825","0.825","0.825","0.682","0.682","0.682","0.762","0.762","0.762","0.765","0.765","0.765","0.5","0.5","0.5"
"594","0.742","0.742","0.742","0.733","0.733","0.733","0.705","0.705","0.705","0.842","0.842","0.842","0.831","0.831","0.831","0.74","0.74","0.74","0.849","0.849","0.849","0.824","0.824","0.824","0.662","0.662","0.662","0.771","0.771","0.771","0.78","0.78","0.78","0.54","0.54","0.54"
"595","0.768","0.768","0.768","0.766","0.766","0.766","0.711","0.711","0.711","0.848","0.848","0.848","0.847","0.847","0.847","0.665","0.665","0.665","0.851","0.851","0.851","0.849","0.849","0.849","0.706","0.706","0.706","0.783","0.783","0.783","0.825","0.825","0.825","0.6","0.6","0.6"
"596","0.751","0.751","0.751","0.702","0.702","0.702","0.702","0.702","0.702","0.851","0.851","0.851","0.851","0.851","0.851","0.761","0.761","0.761","0.84","0.84","0.84","0.82","0.82","0.82","0.685","0.685","0.685","0.762","0.762","0.762","0.766","0.766","0.766","0.564","0.564","0.564"
"597","0.745","0.745","0.745","0.74","0.74","0.74","0.642","0.642","0.642","0.855","0.855","0.855","0.85","0.85","0.85","0.7","0.7","0.7","0.852","0.852","0.852","0.813","0.813","0.813","0.759","0.759","0.759","0.788","0.788","0.788","0.781","0.781","0.781","0.689","0.689","0.689"
"598","0.722","0.722","0.722","0.789","0.789","0.789","0.633","0.633","0.633","0.836","0.836","0.836","0.828","0.828","0.828","0.721","0.721","0.721","0.852","0.852","0.852","0.837","0.837","0.837","0.738","0.738","0.738","0.777","0.777","0.777","0.778","0.778","0.778","0.594","0.594","0.594"
"599","0.748","0.748","0.748","0.757","0.757","0.757","0.481","0.481","0.481","0.847","0.847","0.847","0.83","0.83","0.83","0.671","0.671","0.671","0.825","0.825","0.825","0.82","0.82","0.82","0.695","0.695","0.695","0.77","0.77","0.77","0.72","0.72","0.72","0.546","0.546","0.546"
"600","0.755","0.755","0.755","0.739","0.739","0.739","0.61","0.61","0.61","0.859","0.859","0.859","0.842","0.842","0.842","0.707","0.707","0.707","0.843","0.843","0.843","0.84","0.84","0.84","0.741","0.741","0.741","0.787","0.787","0.787","0.768","0.768","0.768","0.584","0.584","0.584"
"601","0.753","0.753","0.753","0.765","0.765","0.765","0.489","0.489","0.489","0.849","0.849","0.849","0.814","0.814","0.814","0.712","0.712","0.712","0.839","0.839","0.839","0.813","0.813","0.813","0.726","0.726","0.726","0.773","0.773","0.773","0.742","0.742","0.742","0.566","0.566","0.566"
"602","0.764","0.764","0.764","0.779","0.779","0.779","0.657","0.657","0.657","0.849","0.849","0.849","0.843","0.843","0.843","0.742","0.742","0.742","0.833","0.833","0.833","0.826","0.826","0.826","0.743","0.743","0.743","0.75","0.75","0.75","0.793","0.793","0.793","0.593","0.593","0.593"
"603","0.759","0.759","0.759","0.782","0.782","0.782","0.577","0.577","0.577","0.857","0.857","0.857","0.861","0.861","0.861","0.75","0.75","0.75","0.828","0.828","0.828","0.822","0.822","0.822","0.728","0.728","0.728","0.756","0.756","0.756","0.808","0.808","0.808","0.627","0.627","0.627"
"604","0.745","0.745","0.745","0.773","0.773","0.773","0.682","0.682","0.682","0.838","0.838","0.838","0.833","0.833","0.833","0.739","0.739","0.739","0.843","0.843","0.843","0.813","0.813","0.813","0.658","0.658","0.658","0.773","0.773","0.773","0.754","0.754","0.754","0.459","0.459","0.459"
"605","0.749","0.749","0.749","0.769","0.769","0.769","0.637","0.637","0.637","0.855","0.855","0.855","0.843","0.843","0.843","0.737","0.737","0.737","0.817","0.817","0.817","0.824","0.824","0.824","0.666","0.666","0.666","0.752","0.752","0.752","0.75","0.75","0.75","0.503","0.503","0.503"
"606","0.757","0.757","0.757","0.752","0.752","0.752","0.619","0.619","0.619","0.859","0.859","0.859","0.841","0.841","0.841","0.691","0.691","0.691","0.83","0.83","0.83","0.815","0.815","0.815","0.766","0.766","0.766","0.745","0.745","0.745","0.773","0.773","0.773","0.633","0.633","0.633"
"607","0.748","0.748","0.748","0.732","0.732","0.732","0.638","0.638","0.638","0.848","0.848","0.848","0.827","0.827","0.827","0.658","0.658","0.658","0.847","0.847","0.847","0.816","0.816","0.816","0.646","0.646","0.646","0.764","0.764","0.764","0.758","0.758","0.758","0.531","0.531","0.531"
"608","0.753","0.753","0.753","0.77","0.77","0.77","0.649","0.649","0.649","0.854","0.854","0.854","0.804","0.804","0.804","0.715","0.715","0.715","0.86","0.86","0.86","0.791","0.791","0.791","0.708","0.708","0.708","0.789","0.789","0.789","0.692","0.692","0.692","0.567","0.567","0.567"
"609","0.762","0.762","0.762","0.745","0.745","0.745","0.512","0.512","0.512","0.856","0.856","0.856","0.833","0.833","0.833","0.681","0.681","0.681","0.854","0.854","0.854","0.81","0.81","0.81","0.756","0.756","0.756","0.76","0.76","0.76","0.759","0.759","0.759","0.604","0.604","0.604"
"610","0.769","0.769","0.769","0.746","0.746","0.746","0.552","0.552","0.552","0.868","0.868","0.868","0.854","0.854","0.854","0.756","0.756","0.756","0.844","0.844","0.844","0.833","0.833","0.833","0.748","0.748","0.748","0.769","0.769","0.769","0.806","0.806","0.806","0.636","0.636","0.636"
