"Step","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar10_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","resnet18-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar10_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"359","0.744","0.744","0.744","0.7","0.7","0.7","0.632","0.632","0.632","0.846","0.846","0.846","0.829","0.829","0.829","0.707","0.707","0.707","0.847","0.847","0.847","0.804","0.804","0.804","0.74","0.74","0.74","0.826","0.826","0.826","0.811","0.811","0.811","0.659","0.659","0.659"
"360","0.751","0.751","0.751","0.708","0.708","0.708","0.504","0.504","0.504","0.859","0.859","0.859","0.846","0.846","0.846","0.629","0.629","0.629","0.824","0.824","0.824","0.804","0.804","0.804","0.705","0.705","0.705","0.785","0.785","0.785","0.831","0.831","0.831","0.564","0.564","0.564"
"361","0.732","0.732","0.732","0.702","0.702","0.702","0.605","0.605","0.605","0.835","0.835","0.835","0.814","0.814","0.814","0.714","0.714","0.714","0.812","0.812","0.812","0.794","0.794","0.794","0.751","0.751","0.751","0.823","0.823","0.823","0.812","0.812","0.812","0.63","0.63","0.63"
"362","0.736","0.736","0.736","0.692","0.692","0.692","0.551","0.551","0.551","0.818","0.818","0.818","0.819","0.819","0.819","0.675","0.675","0.675","0.818","0.818","0.818","0.809","0.809","0.809","0.665","0.665","0.665","0.838","0.838","0.838","0.82","0.82","0.82","0.56","0.56","0.56"
"363","0.754","0.754","0.754","0.708","0.708","0.708","0.485","0.485","0.485","0.86","0.86","0.86","0.812","0.812","0.812","0.591","0.591","0.591","0.838","0.838","0.838","0.82","0.82","0.82","0.708","0.708","0.708","0.823","0.823","0.823","0.822","0.822","0.822","0.47","0.47","0.47"
"364","0.734","0.734","0.734","0.663","0.663","0.663","0.474","0.474","0.474","0.822","0.822","0.822","0.78","0.78","0.78","0.646","0.646","0.646","0.825","0.825","0.825","0.815","0.815","0.815","0.716","0.716","0.716","0.819","0.819","0.819","0.777","0.777","0.777","0.532","0.532","0.532"
"365","0.728","0.728","0.728","0.72","0.72","0.72","0.694","0.694","0.694","0.862","0.862","0.862","0.803","0.803","0.803","0.762","0.762","0.762","0.848","0.848","0.848","0.816","0.816","0.816","0.668","0.668","0.668","0.816","0.816","0.816","0.789","0.789","0.789","0.715","0.715","0.715"
"366","0.725","0.725","0.725","0.706","0.706","0.706","0.69","0.69","0.69","0.815","0.815","0.815","0.814","0.814","0.814","0.775","0.775","0.775","0.818","0.818","0.818","0.825","0.825","0.825","0.75","0.75","0.75","0.827","0.827","0.827","0.79","0.79","0.79","0.688","0.688","0.688"
"367","0.726","0.726","0.726","0.752","0.752","0.752","0.647","0.647","0.647","0.842","0.842","0.842","0.821","0.821","0.821","0.777","0.777","0.777","0.828","0.828","0.828","0.837","0.837","0.837","0.737","0.737","0.737","0.835","0.835","0.835","0.809","0.809","0.809","0.666","0.666","0.666"
"368","0.731","0.731","0.731","0.74","0.74","0.74","0.612","0.612","0.612","0.84","0.84","0.84","0.813","0.813","0.813","0.689","0.689","0.689","0.837","0.837","0.837","0.821","0.821","0.821","0.751","0.751","0.751","0.79","0.79","0.79","0.796","0.796","0.796","0.586","0.586","0.586"
"369","0.745","0.745","0.745","0.721","0.721","0.721","0.616","0.616","0.616","0.839","0.839","0.839","0.835","0.835","0.835","0.747","0.747","0.747","0.842","0.842","0.842","0.801","0.801","0.801","0.744","0.744","0.744","0.799","0.799","0.799","0.8","0.8","0.8","0.629","0.629","0.629"
"370","0.73","0.73","0.73","0.741","0.741","0.741","0.605","0.605","0.605","0.848","0.848","0.848","0.838","0.838","0.838","0.718","0.718","0.718","0.809","0.809","0.809","0.814","0.814","0.814","0.666","0.666","0.666","0.807","0.807","0.807","0.784","0.784","0.784","0.592","0.592","0.592"
"371","0.721","0.721","0.721","0.714","0.714","0.714","0.692","0.692","0.692","0.835","0.835","0.835","0.819","0.819","0.819","0.776","0.776","0.776","0.838","0.838","0.838","0.824","0.824","0.824","0.664","0.664","0.664","0.802","0.802","0.802","0.793","0.793","0.793","0.71","0.71","0.71"
"372","0.706","0.706","0.706","0.732","0.732","0.732","0.645","0.645","0.645","0.845","0.845","0.845","0.82","0.82","0.82","0.78","0.78","0.78","0.83","0.83","0.83","0.825","0.825","0.825","0.687","0.687","0.687","0.798","0.798","0.798","0.797","0.797","0.797","0.696","0.696","0.696"
"373","0.753","0.753","0.753","0.74","0.74","0.74","0.698","0.698","0.698","0.856","0.856","0.856","0.854","0.854","0.854","0.792","0.792","0.792","0.838","0.838","0.838","0.797","0.797","0.797","0.751","0.751","0.751","0.804","0.804","0.804","0.818","0.818","0.818","0.704","0.704","0.704"
"374","0.755","0.755","0.755","0.693","0.693","0.693","0.699","0.699","0.699","0.838","0.838","0.838","0.796","0.796","0.796","0.786","0.786","0.786","0.834","0.834","0.834","0.807","0.807","0.807","0.665","0.665","0.665","0.797","0.797","0.797","0.799","0.799","0.799","0.676","0.676","0.676"
"375","0.762","0.762","0.762","0.723","0.723","0.723","0.58","0.58","0.58","0.847","0.847","0.847","0.834","0.834","0.834","0.704","0.704","0.704","0.818","0.818","0.818","0.822","0.822","0.822","0.765","0.765","0.765","0.838","0.838","0.838","0.773","0.773","0.773","0.583","0.583","0.583"
"376","0.712","0.712","0.712","0.71","0.71","0.71","0.695","0.695","0.695","0.831","0.831","0.831","0.85","0.85","0.85","0.787","0.787","0.787","0.822","0.822","0.822","0.823","0.823","0.823","0.727","0.727","0.727","0.832","0.832","0.832","0.831","0.831","0.831","0.69","0.69","0.69"
"377","0.728","0.728","0.728","0.741","0.741","0.741","0.559","0.559","0.559","0.841","0.841","0.841","0.836","0.836","0.836","0.709","0.709","0.709","0.83","0.83","0.83","0.832","0.832","0.832","0.582","0.582","0.582","0.841","0.841","0.841","0.815","0.815","0.815","0.624","0.624","0.624"
"378","0.755","0.755","0.755","0.734","0.734","0.734","0.661","0.661","0.661","0.819","0.819","0.819","0.845","0.845","0.845","0.758","0.758","0.758","0.823","0.823","0.823","0.807","0.807","0.807","0.7","0.7","0.7","0.812","0.812","0.812","0.798","0.798","0.798","0.611","0.611","0.611"
"379","0.727","0.727","0.727","0.666","0.666","0.666","0.649","0.649","0.649","0.836","0.836","0.836","0.825","0.825","0.825","0.757","0.757","0.757","0.826","0.826","0.826","0.78","0.78","0.78","0.783","0.783","0.783","0.802","0.802","0.802","0.81","0.81","0.81","0.69","0.69","0.69"
"380","0.749","0.749","0.749","0.687","0.687","0.687","0.614","0.614","0.614","0.849","0.849","0.849","0.829","0.829","0.829","0.679","0.679","0.679","0.845","0.845","0.845","0.815","0.815","0.815","0.788","0.788","0.788","0.796","0.796","0.796","0.83","0.83","0.83","0.628","0.628","0.628"
"381","0.745","0.745","0.745","0.76","0.76","0.76","0.671","0.671","0.671","0.855","0.855","0.855","0.825","0.825","0.825","0.744","0.744","0.744","0.853","0.853","0.853","0.847","0.847","0.847","0.658","0.658","0.658","0.827","0.827","0.827","0.805","0.805","0.805","0.634","0.634","0.634"
"382","0.707","0.707","0.707","0.724","0.724","0.724","0.619","0.619","0.619","0.856","0.856","0.856","0.827","0.827","0.827","0.709","0.709","0.709","0.856","0.856","0.856","0.808","0.808","0.808","0.717","0.717","0.717","0.812","0.812","0.812","0.806","0.806","0.806","0.635","0.635","0.635"
"383","0.735","0.735","0.735","0.759","0.759","0.759","0.593","0.593","0.593","0.857","0.857","0.857","0.837","0.837","0.837","0.764","0.764","0.764","0.855","0.855","0.855","0.826","0.826","0.826","0.828","0.828","0.828","0.815","0.815","0.815","0.809","0.809","0.809","0.567","0.567","0.567"
"384","0.75","0.75","0.75","0.749","0.749","0.749","0.513","0.513","0.513","0.825","0.825","0.825","0.813","0.813","0.813","0.679","0.679","0.679","0.826","0.826","0.826","0.835","0.835","0.835","0.72","0.72","0.72","0.8","0.8","0.8","0.776","0.776","0.776","0.532","0.532","0.532"
"385","0.748","0.748","0.748","0.722","0.722","0.722","0.586","0.586","0.586","0.863","0.863","0.863","0.846","0.846","0.846","0.748","0.748","0.748","0.832","0.832","0.832","0.822","0.822","0.822","0.724","0.724","0.724","0.835","0.835","0.835","0.844","0.844","0.844","0.594","0.594","0.594"
"386","0.731","0.731","0.731","0.723","0.723","0.723","0.581","0.581","0.581","0.831","0.831","0.831","0.836","0.836","0.836","0.704","0.704","0.704","0.834","0.834","0.834","0.83","0.83","0.83","0.744","0.744","0.744","0.818","0.818","0.818","0.831","0.831","0.831","0.58","0.58","0.58"
"387","0.736","0.736","0.736","0.763","0.763","0.763","0.635","0.635","0.635","0.845","0.845","0.845","0.818","0.818","0.818","0.723","0.723","0.723","0.821","0.821","0.821","0.819","0.819","0.819","0.678","0.678","0.678","0.823","0.823","0.823","0.81","0.81","0.81","0.587","0.587","0.587"
"388","0.718","0.718","0.718","0.688","0.688","0.688","0.506","0.506","0.506","0.852","0.852","0.852","0.841","0.841","0.841","0.621","0.621","0.621","0.843","0.843","0.843","0.78","0.78","0.78","0.674","0.674","0.674","0.815","0.815","0.815","0.812","0.812","0.812","0.508","0.508","0.508"
"389","0.747","0.747","0.747","0.74","0.74","0.74","0.648","0.648","0.648","0.841","0.841","0.841","0.854","0.854","0.854","0.727","0.727","0.727","0.823","0.823","0.823","0.823","0.823","0.823","0.696","0.696","0.696","0.781","0.781","0.781","0.8","0.8","0.8","0.656","0.656","0.656"
"390","0.766","0.766","0.766","0.752","0.752","0.752","0.575","0.575","0.575","0.846","0.846","0.846","0.843","0.843","0.843","0.653","0.653","0.653","0.824","0.824","0.824","0.822","0.822","0.822","0.687","0.687","0.687","0.829","0.829","0.829","0.824","0.824","0.824","0.576","0.576","0.576"
"391","0.744","0.744","0.744","0.686","0.686","0.686","0.637","0.637","0.637","0.824","0.824","0.824","0.824","0.824","0.824","0.725","0.725","0.725","0.831","0.831","0.831","0.812","0.812","0.812","0.67","0.67","0.67","0.811","0.811","0.811","0.798","0.798","0.798","0.681","0.681","0.681"
"392","0.749","0.749","0.749","0.713","0.713","0.713","0.664","0.664","0.664","0.839","0.839","0.839","0.832","0.832","0.832","0.77","0.77","0.77","0.825","0.825","0.825","0.828","0.828","0.828","0.767","0.767","0.767","0.828","0.828","0.828","0.792","0.792","0.792","0.676","0.676","0.676"
"393","0.743","0.743","0.743","0.682","0.682","0.682","0.647","0.647","0.647","0.831","0.831","0.831","0.802","0.802","0.802","0.733","0.733","0.733","0.844","0.844","0.844","0.81","0.81","0.81","0.731","0.731","0.731","0.805","0.805","0.805","0.785","0.785","0.785","0.672","0.672","0.672"
"394","0.738","0.738","0.738","0.717","0.717","0.717","0.54","0.54","0.54","0.847","0.847","0.847","0.827","0.827","0.827","0.694","0.694","0.694","0.83","0.83","0.83","0.802","0.802","0.802","0.729","0.729","0.729","0.825","0.825","0.825","0.764","0.764","0.764","0.592","0.592","0.592"
"395","0.766","0.766","0.766","0.707","0.707","0.707","0.426","0.426","0.426","0.846","0.846","0.846","0.802","0.802","0.802","0.581","0.581","0.581","0.824","0.824","0.824","0.824","0.824","0.824","0.686","0.686","0.686","0.816","0.816","0.816","0.757","0.757","0.757","0.476","0.476","0.476"
"396","0.752","0.752","0.752","0.712","0.712","0.712","0.726","0.726","0.726","0.836","0.836","0.836","0.809","0.809","0.809","0.776","0.776","0.776","0.834","0.834","0.834","0.799","0.799","0.799","0.746","0.746","0.746","0.825","0.825","0.825","0.832","0.832","0.832","0.668","0.668","0.668"
"397","0.748","0.748","0.748","0.727","0.727","0.727","0.564","0.564","0.564","0.843","0.843","0.843","0.834","0.834","0.834","0.671","0.671","0.671","0.821","0.821","0.821","0.829","0.829","0.829","0.703","0.703","0.703","0.824","0.824","0.824","0.798","0.798","0.798","0.609","0.609","0.609"
"398","0.767","0.767","0.767","0.72","0.72","0.72","0.617","0.617","0.617","0.846","0.846","0.846","0.817","0.817","0.817","0.74","0.74","0.74","0.848","0.848","0.848","0.816","0.816","0.816","0.786","0.786","0.786","0.82","0.82","0.82","0.794","0.794","0.794","0.676","0.676","0.676"
"399","0.752","0.752","0.752","0.72","0.72","0.72","0.582","0.582","0.582","0.824","0.824","0.824","0.845","0.845","0.845","0.748","0.748","0.748","0.847","0.847","0.847","0.822","0.822","0.822","0.684","0.684","0.684","0.787","0.787","0.787","0.818","0.818","0.818","0.585","0.585","0.585"
"400","0.735","0.735","0.735","0.74","0.74","0.74","0.629","0.629","0.629","0.851","0.851","0.851","0.854","0.854","0.854","0.706","0.706","0.706","0.845","0.845","0.845","0.817","0.817","0.817","0.786","0.786","0.786","0.812","0.812","0.812","0.85","0.85","0.85","0.618","0.618","0.618"
"401","0.761","0.761","0.761","0.731","0.731","0.731","0.593","0.593","0.593","0.854","0.854","0.854","0.805","0.805","0.805","0.692","0.692","0.692","0.841","0.841","0.841","0.813","0.813","0.813","0.723","0.723","0.723","0.821","0.821","0.821","0.794","0.794","0.794","0.631","0.631","0.631"
"402","0.756","0.756","0.756","0.716","0.716","0.716","0.657","0.657","0.657","0.87","0.87","0.87","0.843","0.843","0.843","0.753","0.753","0.753","0.852","0.852","0.852","0.825","0.825","0.825","0.649","0.649","0.649","0.835","0.835","0.835","0.803","0.803","0.803","0.673","0.673","0.673"
"403","0.745","0.745","0.745","0.744","0.744","0.744","0.624","0.624","0.624","0.849","0.849","0.849","0.823","0.823","0.823","0.701","0.701","0.701","0.824","0.824","0.824","0.822","0.822","0.822","0.804","0.804","0.804","0.809","0.809","0.809","0.81","0.81","0.81","0.631","0.631","0.631"
"404","0.778","0.778","0.778","0.654","0.654","0.654","0.526","0.526","0.526","0.846","0.846","0.846","0.833","0.833","0.833","0.659","0.659","0.659","0.82","0.82","0.82","0.805","0.805","0.805","0.723","0.723","0.723","0.825","0.825","0.825","0.814","0.814","0.814","0.567","0.567","0.567"
"405","0.753","0.753","0.753","0.716","0.716","0.716","0.585","0.585","0.585","0.837","0.837","0.837","0.817","0.817","0.817","0.715","0.715","0.715","0.842","0.842","0.842","0.813","0.813","0.813","0.715","0.715","0.715","0.831","0.831","0.831","0.785","0.785","0.785","0.619","0.619","0.619"
"406","0.741","0.741","0.741","0.73","0.73","0.73","0.588","0.588","0.588","0.846","0.846","0.846","0.818","0.818","0.818","0.728","0.728","0.728","0.85","0.85","0.85","0.817","0.817","0.817","0.758","0.758","0.758","0.817","0.817","0.817","0.783","0.783","0.783","0.619","0.619","0.619"
"407","0.777","0.777","0.777","0.712","0.712","0.712","0.549","0.549","0.549","0.833","0.833","0.833","0.841","0.841","0.841","0.701","0.701","0.701","0.811","0.811","0.811","0.813","0.813","0.813","0.67","0.67","0.67","0.812","0.812","0.812","0.833","0.833","0.833","0.552","0.552","0.552"
"408","0.765","0.765","0.765","0.716","0.716","0.716","0.604","0.604","0.604","0.826","0.826","0.826","0.803","0.803","0.803","0.689","0.689","0.689","0.824","0.824","0.824","0.828","0.828","0.828","0.597","0.597","0.597","0.84","0.84","0.84","0.79","0.79","0.79","0.589","0.589","0.589"
"409","0.754","0.754","0.754","0.721","0.721","0.721","0.481","0.481","0.481","0.848","0.848","0.848","0.844","0.844","0.844","0.581","0.581","0.581","0.806","0.806","0.806","0.803","0.803","0.803","0.761","0.761","0.761","0.843","0.843","0.843","0.818","0.818","0.818","0.463","0.463","0.463"
"410","0.744","0.744","0.744","0.732","0.732","0.732","0.672","0.672","0.672","0.859","0.859","0.859","0.807","0.807","0.807","0.734","0.734","0.734","0.842","0.842","0.842","0.778","0.778","0.778","0.693","0.693","0.693","0.819","0.819","0.819","0.793","0.793","0.793","0.683","0.683","0.683"
"411","0.744","0.744","0.744","0.775","0.775","0.775","0.649","0.649","0.649","0.854","0.854","0.854","0.834","0.834","0.834","0.734","0.734","0.734","0.826","0.826","0.826","0.844","0.844","0.844","0.776","0.776","0.776","0.81","0.81","0.81","0.833","0.833","0.833","0.693","0.693","0.693"
"412","0.765","0.765","0.765","0.773","0.773","0.773","0.689","0.689","0.689","0.845","0.845","0.845","0.815","0.815","0.815","0.764","0.764","0.764","0.833","0.833","0.833","0.841","0.841","0.841","0.8","0.8","0.8","0.842","0.842","0.842","0.825","0.825","0.825","0.675","0.675","0.675"
"413","0.758","0.758","0.758","0.756","0.756","0.756","0.64","0.64","0.64","0.852","0.852","0.852","0.831","0.831","0.831","0.756","0.756","0.756","0.845","0.845","0.845","0.838","0.838","0.838","0.792","0.792","0.792","0.841","0.841","0.841","0.813","0.813","0.813","0.635","0.635","0.635"
"414","0.737","0.737","0.737","0.687","0.687","0.687","0.525","0.525","0.525","0.842","0.842","0.842","0.836","0.836","0.836","0.681","0.681","0.681","0.838","0.838","0.838","0.811","0.811","0.811","0.686","0.686","0.686","0.809","0.809","0.809","0.808","0.808","0.808","0.547","0.547","0.547"
"415","0.753","0.753","0.753","0.696","0.696","0.696","0.503","0.503","0.503","0.839","0.839","0.839","0.813","0.813","0.813","0.702","0.702","0.702","0.844","0.844","0.844","0.817","0.817","0.817","0.684","0.684","0.684","0.808","0.808","0.808","0.783","0.783","0.783","0.643","0.643","0.643"
"416","0.759","0.759","0.759","0.68","0.68","0.68","0.608","0.608","0.608","0.839","0.839","0.839","0.85","0.85","0.85","0.73","0.73","0.73","0.812","0.812","0.812","0.808","0.808","0.808","0.606","0.606","0.606","0.795","0.795","0.795","0.79","0.79","0.79","0.626","0.626","0.626"
"417","0.764","0.764","0.764","0.705","0.705","0.705","0.596","0.596","0.596","0.825","0.825","0.825","0.816","0.816","0.816","0.681","0.681","0.681","0.817","0.817","0.817","0.788","0.788","0.788","0.714","0.714","0.714","0.808","0.808","0.808","0.811","0.811","0.811","0.696","0.696","0.696"
"418","0.757","0.757","0.757","0.73","0.73","0.73","0.627","0.627","0.627","0.841","0.841","0.841","0.842","0.842","0.842","0.721","0.721","0.721","0.835","0.835","0.835","0.815","0.815","0.815","0.781","0.781","0.781","0.796","0.796","0.796","0.821","0.821","0.821","0.688","0.688","0.688"
"419","0.748","0.748","0.748","0.742","0.742","0.742","0.757","0.757","0.757","0.857","0.857","0.857","0.784","0.784","0.784","0.811","0.811","0.811","0.84","0.84","0.84","0.834","0.834","0.834","0.703","0.703","0.703","0.819","0.819","0.819","0.793","0.793","0.793","0.778","0.778","0.778"
"420","0.759","0.759","0.759","0.774","0.774","0.774","0.726","0.726","0.726","0.851","0.851","0.851","0.834","0.834","0.834","0.78","0.78","0.78","0.848","0.848","0.848","0.838","0.838","0.838","0.76","0.76","0.76","0.788","0.788","0.788","0.814","0.814","0.814","0.727","0.727","0.727"
"421","0.772","0.772","0.772","0.738","0.738","0.738","0.581","0.581","0.581","0.835","0.835","0.835","0.822","0.822","0.822","0.637","0.637","0.637","0.843","0.843","0.843","0.827","0.827","0.827","0.591","0.591","0.591","0.834","0.834","0.834","0.803","0.803","0.803","0.532","0.532","0.532"
"422","0.749","0.749","0.749","0.742","0.742","0.742","0.664","0.664","0.664","0.839","0.839","0.839","0.841","0.841","0.841","0.709","0.709","0.709","0.841","0.841","0.841","0.806","0.806","0.806","0.604","0.604","0.604","0.817","0.817","0.817","0.811","0.811","0.811","0.691","0.691","0.691"
"423","0.781","0.781","0.781","0.775","0.775","0.775","0.613","0.613","0.613","0.84","0.84","0.84","0.867","0.867","0.867","0.748","0.748","0.748","0.838","0.838","0.838","0.828","0.828","0.828","0.767","0.767","0.767","0.831","0.831","0.831","0.815","0.815","0.815","0.676","0.676","0.676"
"424","0.731","0.731","0.731","0.716","0.716","0.716","0.637","0.637","0.637","0.834","0.834","0.834","0.838","0.838","0.838","0.676","0.676","0.676","0.825","0.825","0.825","0.808","0.808","0.808","0.694","0.694","0.694","0.823","0.823","0.823","0.823","0.823","0.823","0.687","0.687","0.687"
"425","0.771","0.771","0.771","0.726","0.726","0.726","0.612","0.612","0.612","0.843","0.843","0.843","0.818","0.818","0.818","0.733","0.733","0.733","0.817","0.817","0.817","0.793","0.793","0.793","0.743","0.743","0.743","0.828","0.828","0.828","0.803","0.803","0.803","0.609","0.609","0.609"
"426","0.752","0.752","0.752","0.749","0.749","0.749","0.751","0.751","0.751","0.842","0.842","0.842","0.829","0.829","0.829","0.79","0.79","0.79","0.842","0.842","0.842","0.845","0.845","0.845","0.848","0.848","0.848","0.817","0.817","0.817","0.793","0.793","0.793","0.75","0.75","0.75"
"427","0.746","0.746","0.746","0.725","0.725","0.725","0.611","0.611","0.611","0.835","0.835","0.835","0.84","0.84","0.84","0.712","0.712","0.712","0.838","0.838","0.838","0.829","0.829","0.829","0.737","0.737","0.737","0.821","0.821","0.821","0.797","0.797","0.797","0.639","0.639","0.639"
"428","0.752","0.752","0.752","0.732","0.732","0.732","0.697","0.697","0.697","0.841","0.841","0.841","0.829","0.829","0.829","0.746","0.746","0.746","0.838","0.838","0.838","0.811","0.811","0.811","0.709","0.709","0.709","0.824","0.824","0.824","0.816","0.816","0.816","0.69","0.69","0.69"
"429","0.755","0.755","0.755","0.748","0.748","0.748","0.686","0.686","0.686","0.847","0.847","0.847","0.834","0.834","0.834","0.771","0.771","0.771","0.838","0.838","0.838","0.831","0.831","0.831","0.771","0.771","0.771","0.834","0.834","0.834","0.837","0.837","0.837","0.734","0.734","0.734"
"430","0.737","0.737","0.737","0.733","0.733","0.733","0.661","0.661","0.661","0.862","0.862","0.862","0.848","0.848","0.848","0.67","0.67","0.67","0.839","0.839","0.839","0.829","0.829","0.829","0.628","0.628","0.628","0.814","0.814","0.814","0.793","0.793","0.793","0.621","0.621","0.621"
"431","0.761","0.761","0.761","0.736","0.736","0.736","0.678","0.678","0.678","0.823","0.823","0.823","0.832","0.832","0.832","0.702","0.702","0.702","0.824","0.824","0.824","0.823","0.823","0.823","0.72","0.72","0.72","0.797","0.797","0.797","0.815","0.815","0.815","0.643","0.643","0.643"
"432","0.764","0.764","0.764","0.764","0.764","0.764","0.538","0.538","0.538","0.859","0.859","0.859","0.837","0.837","0.837","0.684","0.684","0.684","0.831","0.831","0.831","0.859","0.859","0.859","0.686","0.686","0.686","0.823","0.823","0.823","0.797","0.797","0.797","0.585","0.585","0.585"
"433","0.768","0.768","0.768","0.745","0.745","0.745","0.638","0.638","0.638","0.836","0.836","0.836","0.837","0.837","0.837","0.737","0.737","0.737","0.843","0.843","0.843","0.818","0.818","0.818","0.724","0.724","0.724","0.801","0.801","0.801","0.81","0.81","0.81","0.572","0.572","0.572"
"434","0.767","0.767","0.767","0.776","0.776","0.776","0.613","0.613","0.613","0.847","0.847","0.847","0.824","0.824","0.824","0.724","0.724","0.724","0.844","0.844","0.844","0.836","0.836","0.836","0.711","0.711","0.711","0.838","0.838","0.838","0.787","0.787","0.787","0.616","0.616","0.616"
"435","0.76","0.76","0.76","0.755","0.755","0.755","0.712","0.712","0.712","0.856","0.856","0.856","0.825","0.825","0.825","0.775","0.775","0.775","0.846","0.846","0.846","0.837","0.837","0.837","0.788","0.788","0.788","0.817","0.817","0.817","0.789","0.789","0.789","0.761","0.761","0.761"
"436","0.74","0.74","0.74","0.69","0.69","0.69","0.666","0.666","0.666","0.841","0.841","0.841","0.827","0.827","0.827","0.74","0.74","0.74","0.835","0.835","0.835","0.809","0.809","0.809","0.724","0.724","0.724","0.847","0.847","0.847","0.813","0.813","0.813","0.67","0.67","0.67"
"437","0.753","0.753","0.753","0.719","0.719","0.719","0.527","0.527","0.527","0.857","0.857","0.857","0.827","0.827","0.827","0.59","0.59","0.59","0.843","0.843","0.843","0.811","0.811","0.811","0.772","0.772","0.772","0.816","0.816","0.816","0.793","0.793","0.793","0.55","0.55","0.55"
"438","0.751","0.751","0.751","0.763","0.763","0.763","0.624","0.624","0.624","0.848","0.848","0.848","0.84","0.84","0.84","0.732","0.732","0.732","0.834","0.834","0.834","0.842","0.842","0.842","0.75","0.75","0.75","0.82","0.82","0.82","0.821","0.821","0.821","0.659","0.659","0.659"
"439","0.768","0.768","0.768","0.793","0.793","0.793","0.614","0.614","0.614","0.823","0.823","0.823","0.816","0.816","0.816","0.721","0.721","0.721","0.817","0.817","0.817","0.837","0.837","0.837","0.759","0.759","0.759","0.815","0.815","0.815","0.788","0.788","0.788","0.663","0.663","0.663"
"440","0.798","0.798","0.798","0.762","0.762","0.762","0.748","0.748","0.748","0.84","0.84","0.84","0.849","0.849","0.849","0.769","0.769","0.769","0.837","0.837","0.837","0.824","0.824","0.824","0.669","0.669","0.669","0.816","0.816","0.816","0.82","0.82","0.82","0.721","0.721","0.721"
