"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - sparsity__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - sparsity__MAX"
"39","51.77400000000001","51.77400000000001","51.77400000000001","73.296","73.296","73.296","76.345","76.345","76.345","86.995","86.995","86.995","87.53300000000002","87.53300000000002","87.53300000000002","87.27600000000001","87.27600000000001","87.27600000000001","89.38","89.38","89.38"
"40","51.78199999999999","51.78199999999999","51.78199999999999","74.439","74.439","74.439","76.78699999999999","76.78699999999999","76.78699999999999","86.94399999999999","86.94399999999999","86.94399999999999","87.45800000000001","87.45800000000001","87.45800000000001","87.15699999999998","87.15699999999998","87.15699999999998","89.37699999999998","89.37699999999998","89.37699999999998"
"41","51.47","51.47","51.47","74.169","74.169","74.169","75.68199999999999","75.68199999999999","75.68199999999999","86.894","86.894","86.894","87.52699999999999","87.52699999999999","87.52699999999999","87.095","87.095","87.095","89.375","89.375","89.375"
"42","52.668000000000006","52.668000000000006","52.668000000000006","73.556","73.556","73.556","75.90800000000002","75.90800000000002","75.90800000000002","86.97","86.97","86.97","87.44399999999999","87.44399999999999","87.44399999999999","87.13899999999998","87.13899999999998","87.13899999999998","89.37699999999998","89.37699999999998","89.37699999999998"
"43","50.84199999999999","50.84199999999999","50.84199999999999","74.066","74.066","74.066","75.101","75.101","75.101","86.94100000000002","86.94100000000002","86.94100000000002","87.44399999999999","87.44399999999999","87.44399999999999","87.10199999999999","87.10199999999999","87.10199999999999","89.37899999999999","89.37899999999999","89.37899999999999"
"44","51.50800000000001","51.50800000000001","51.50800000000001","73.934","73.934","73.934","75.584","75.584","75.584","86.93100000000001","86.93100000000001","86.93100000000001","87.41699999999999","87.41699999999999","87.41699999999999","86.98699999999998","86.98699999999998","86.98699999999998","89.37699999999998","89.37699999999998","89.37699999999998"
"45","54.24699999999999","54.24699999999999","54.24699999999999","73.44199999999998","73.44199999999998","73.44199999999998","75.451","75.451","75.451","86.81100000000002","86.81100000000002","86.81100000000002","87.28899999999999","87.28899999999999","87.28899999999999","87.03","87.03","87.03","89.37800000000001","89.37800000000001","89.37800000000001"
"46","53.62400000000001","53.62400000000001","53.62400000000001","73.306","73.306","73.306","75.669","75.669","75.669","86.88300000000001","86.88300000000001","86.88300000000001","87.27100000000002","87.27100000000002","87.27100000000002","86.98399999999998","86.98399999999998","86.98399999999998","89.38100000000001","89.38100000000001","89.38100000000001"
"47","54.04","54.04","54.04","73.40000000000002","73.40000000000002","73.40000000000002","75.591","75.591","75.591","86.81300000000002","86.81300000000002","86.81300000000002","87.31899999999999","87.31899999999999","87.31899999999999","87.03899999999999","87.03899999999999","87.03899999999999","89.38699999999999","89.38699999999999","89.38699999999999"
"48","53.06900000000001","53.06900000000001","53.06900000000001","73.881","73.881","73.881","75.374","75.374","75.374","86.74600000000001","86.74600000000001","86.74600000000001","87.2","87.2","87.2","86.96199999999999","86.96199999999999","86.96199999999999","89.39100000000002","89.39100000000002","89.39100000000002"
